YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2010,김태완,한화,0.265,116,473,370,62,98,13,0,15,156,62,0,2,86,3,13,99,9,0.422,0.418,0.84,21,0.313,0.0,-0.41782188
2019,김강민,SK,0.27,127,460,422,54,114,14,2,8,156,50,0,3,31,3,4,103,2,0.37,0.324,0.694,31,0.298,0.25,-0.41916052
2007,박한이,삼성,0.267,123,559,479,68,128,12,1,2,148,27,4,5,67,5,4,47,7,0.309,0.359,0.668,37,0.202,0.0,-0.4205945
2017,이원석,삼성,0.265,121,459,411,55,109,20,1,18,185,62,4,6,34,2,4,80,4,0.45,0.323,0.773,27,0.262,0.0,-0.4213273
2023,김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5,36,0,3,48,4,0.385,0.356,0.741,33,0.284,0.286,-0.42192826
2009,이원석,두산,0.298,125,414,376,49,112,20,4,9,167,53,0,5,28,2,5,52,15,0.444,0.35,0.794,30,0.238,0.0,-0.4221601
2023,최주환,SSG,0.235,134,478,426,48,100,24,0,20,184,63,1,3,44,4,4,94,6,0.432,0.31,0.742,22,0.212,0.286,-0.42385516
2012,이병규,LG,0.3,118,455,420,52,126,25,1,5,168,41,5,6,22,1,2,58,18,0.4,0.333,0.733,34,0.23,0.231,-0.42450786
2004,장원진,두산,0.284,130,486,429,51,122,15,4,5,160,49,5,3,44,1,5,54,5,0.373,0.356,0.729,37,0.287,0.143,-0.4252354
2010,이병규,LG,0.29,117,451,404,49,117,14,1,9,160,64,4,6,36,5,1,53,11,0.396,0.345,0.741,39,0.291,0.067,-0.42680496
2007,박경완,SK,0.247,119,437,352,60,87,21,1,15,155,60,11,9,55,4,10,68,9,0.44,0.357,0.797,22,0.228,0.0,-0.42732668
2007,조인성,LG,0.282,124,464,419,44,118,24,0,13,181,73,6,5,30,3,4,61,8,0.432,0.332,0.764,33,0.284,0.0,-0.42761716
2012,박정권,SK,0.255,122,472,416,61,106,18,1,12,162,59,6,3,43,2,4,80,7,0.389,0.328,0.717,28,0.252,0.5,-0.42865127
2013,정근우,SK,0.28,112,476,407,64,114,19,3,9,166,35,11,1,50,6,7,48,6,0.408,0.368,0.776,30,0.321,0.0,-0.42869323
2007,박진만,삼성,0.312,100,400,333,34,104,25,0,7,150,56,5,5,53,2,4,38,5,0.45,0.408,0.858,29,0.347,0.0,-0.42976004
2019,유강남,LG,0.27,132,468,418,44,113,22,0,16,183,49,1,6,30,2,13,82,21,0.438,0.334,0.772,25,0.21,0.273,-0.43167025
2012,서건창,넥센,0.266,127,501,433,70,115,21,10,1,159,40,13,3,45,0,7,43,4,0.367,0.342,0.709,30,0.277,0.0,-0.43254572
2009,나주환,SK,0.288,118,454,382,60,110,13,0,15,168,65,20,4,41,0,7,74,8,0.44,0.364,0.804,27,0.262,0.0,-0.43332708
2020,최지훈,SK,0.258,127,520,466,66,120,19,5,1,152,27,8,3,38,0,5,80,4,0.326,0.318,0.644,30,0.218,1.0,-0.43368596
2020,안치홍,롯데,0.286,124,460,412,49,118,28,0,8,170,54,4,2,35,2,7,47,11,0.413,0.351,0.764,30,0.288,0.286,-0.43397903
2023,강승호,두산,0.265,127,459,419,51,111,18,6,7,162,59,4,3,27,0,6,110,12,0.387,0.316,0.703,24,0.273,0.167,-0.43422306
2004,최경환,두산,0.278,126,480,436,49,121,16,4,5,160,58,0,6,34,0,4,67,7,0.367,0.331,0.698,34,0.319,0.182,-0.43446493
2020,장성우,KT,0.278,130,455,400,39,111,15,0,13,165,79,10,6,38,0,1,64,15,0.413,0.337,0.75,30,0.31,0.286,-0.43531924
2002,심재학,두산,0.245,119,463,383,56,94,16,3,15,161,57,0,7,67,4,6,55,11,0.42,0.361,0.781,17,0.267,0.333,-0.43769664
2023,류지혁,삼성,0.268,132,522,455,63,122,11,1,2,141,45,10,5,46,1,6,73,12,0.31,0.34,0.65,35,0.271,0.167,-0.43838975
2007,이대형,LG,0.308,125,509,451,68,139,13,1,1,157,31,13,2,38,1,5,54,3,0.348,0.367,0.715,43,0.263,0.333,-0.43846256
2005,양준혁,삼성,0.261,124,463,394,61,103,15,1,13,159,50,0,2,62,5,5,44,16,0.404,0.367,0.771,29,0.229,0.2,-0.4385594
2007,최정,SK,0.267,122,462,408,49,109,19,1,16,178,66,9,1,33,1,11,84,3,0.436,0.338,0.774,23,0.359,0.0,-0.43859744
2008,브룸바,우리,0.293,102,420,358,39,105,17,0,13,161,61,0,4,56,6,2,79,12,0.45,0.388,0.838,25,0.333,0.0,-0.44077325
2011,조인성,LG,0.267,117,441,390,46,104,14,2,15,167,59,2,1,44,3,3,70,10,0.428,0.345,0.773,26,0.267,0.333,-0.44246274
2023,김선빈,KIA,0.32,119,473,419,41,134,16,0,0,150,48,8,3,38,0,5,26,10,0.358,0.381,0.739,36,0.333,0.0,-0.44292176
2005,이도형,한화,0.258,113,431,391,43,101,18,1,22,187,72,0,1,30,0,9,75,15,0.478,0.325,0.803,25,0.237,0.273,-0.44296554
2006,김재현,SK,0.287,109,441,356,42,102,16,1,8,144,51,1,2,76,3,6,56,10,0.404,0.418,0.822,22,0.32,0.6,-0.44408205
2010,양의지,두산,0.267,127,430,374,48,100,14,1,20,176,68,5,3,40,1,8,68,12,0.471,0.348,0.819,27,0.292,0.0,-0.44412684
2009,임재철,두산,0.281,121,426,359,61,101,13,1,6,134,50,2,1,52,0,12,63,14,0.373,0.389,0.762,28,0.263,0.0,-0.4447077
2006,서튼,현대,0.266,93,394,331,50,88,18,1,18,162,61,0,2,59,2,2,72,9,0.489,0.378,0.867,20,0.208,0.0,-0.4447121
2023,박성한,SSG,0.266,128,529,459,53,122,19,0,9,168,47,7,4,58,1,1,56,7,0.366,0.347,0.713,30,0.254,0.0,-0.4452717
2013,나성범,NC,0.243,104,458,404,55,98,18,5,14,168,64,0,6,33,3,15,95,7,0.416,0.319,0.735,19,0.242,0.0,-0.44687104
2015,김성현,SK,0.297,129,449,397,49,118,20,0,8,162,48,12,2,31,0,7,42,14,0.408,0.357,0.765,34,0.324,0.6,-0.44797075
2011,양의지,두산,0.301,119,438,376,43,113,14,3,4,145,46,11,4,44,2,3,58,12,0.386,0.375,0.761,30,0.315,0.0,-0.45092213
2009,이숭용,히어로즈,0.296,114,422,362,47,107,20,3,4,145,52,4,6,48,1,2,44,7,0.401,0.376,0.777,28,0.311,0.0,-0.45320427
2012,이진영,LG,0.307,105,412,365,39,112,18,0,4,142,55,0,2,44,2,1,41,8,0.389,0.381,0.77,31,0.336,0.286,-0.45348048
2004,마틴,LG,0.291,107,420,358,45,104,16,4,9,155,52,0,5,51,3,6,57,7,0.433,0.383,0.816,26,0.312,0.0,-0.4535163
2006,이진영,SK,0.273,118,473,428,54,117,13,0,11,163,41,2,0,41,2,2,52,8,0.381,0.34,0.721,33,0.225,0.667,-0.45463836
2022,박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1,45,4,9,95,9,0.436,0.334,0.77,21,0.234,0.077,-0.4551602
2021,박찬호,KIA,0.246,131,483,418,51,103,15,5,1,131,59,8,3,54,0,0,73,11,0.313,0.331,0.644,22,0.291,1.0,-0.45561627
2005,정수근,롯데,0.286,109,431,370,63,106,21,2,0,131,29,6,2,49,1,4,53,3,0.354,0.374,0.728,31,0.313,0.333,-0.4560104
2006,이종욱,두산,0.284,120,448,388,76,110,14,6,1,139,32,11,1,40,2,7,60,1,0.358,0.36,0.718,31,0.292,0.0,-0.45665446
2019,이재원,SK,0.268,139,502,451,33,121,19,0,12,176,75,1,7,34,2,9,59,16,0.39,0.327,0.717,29,0.303,0.364,-0.4570266
2019,김민혁,KT,0.281,127,521,466,68,131,10,1,0,143,32,5,5,32,0,13,61,8,0.307,0.341,0.648,36,0.257,0.4,-0.45822483
2012,정근우,SK,0.266,127,534,467,53,124,13,4,8,169,46,12,2,47,3,6,33,10,0.362,0.339,0.701,31,0.295,0.4,-0.4585879
2019,최재훈,한화,0.29,135,451,373,47,108,18,0,3,135,31,4,4,56,0,14,61,9,0.362,0.398,0.76,28,0.225,0.0,-0.4590185
2003,홍원기,두산,0.273,124,453,384,43,105,13,1,8,144,42,9,3,54,2,3,65,7,0.375,0.365,0.74,25,0.277,0.667,-0.4590276
2016,양성우,한화,0.271,108,446,384,52,104,12,4,4,136,53,8,6,39,0,9,67,6,0.354,0.347,0.701,27,0.318,0.667,-0.4593145
2012,황재균,롯데,0.272,133,504,448,42,122,19,1,4,155,51,11,2,38,3,5,81,10,0.346,0.335,0.681,29,0.28,0.5,-0.46095562
2020,이용규,한화,0.286,120,487,419,60,120,14,2,1,141,32,2,1,59,0,6,36,9,0.337,0.381,0.718,31,0.294,0.0,-0.46302605
2003,박경완,SK,0.25,122,428,336,49,84,16,2,15,149,60,21,3,59,2,9,93,8,0.443,0.373,0.816,19,0.265,0.0,-0.4647678
2005,장원진,두산,0.286,123,478,423,58,121,16,0,3,146,42,2,2,42,1,9,53,5,0.345,0.361,0.706,32,0.279,0.0,-0.46492398
2011,이대수,한화,0.301,122,420,366,46,110,16,3,8,156,50,14,4,31,0,5,64,5,0.426,0.36,0.786,26,0.306,0.2,-0.46656758
2013,안치홍,KIA,0.249,118,484,414,56,103,15,0,3,127,39,7,5,52,0,6,74,13,0.307,0.338,0.645,26,0.245,1.0,-0.46773696
2021,조용호,KT,0.236,138,515,428,71,101,14,1,0,117,48,5,5,74,0,3,85,8,0.273,0.349,0.622,27,0.33,0.143,-0.46835023
2019,이원석,삼성,0.246,111,455,395,44,97,20,0,19,174,76,2,7,43,0,8,73,10,0.441,0.327,0.768,24,0.304,0.0,-0.468406
2017,김문호,롯데,0.292,131,448,390,49,114,17,1,2,139,35,7,1,37,4,13,73,5,0.356,0.372,0.728,29,0.258,0.278,-0.4688878
2015,손시헌,NC,0.245,140,508,440,56,108,24,2,13,175,58,13,5,36,0,14,66,16,0.398,0.319,0.717,25,0.261,0.0,-0.4695662
2022,양석환,두산,0.244,107,446,405,58,99,14,1,20,175,51,0,2,32,3,7,101,3,0.432,0.309,0.741,23,0.245,0.0,-0.46971992
2014,조동화,SK,0.262,125,522,443,74,116,12,5,2,144,52,28,4,43,1,4,72,8,0.325,0.33,0.655,26,0.328,0.143,-0.47199705
2016,박동원,넥센,0.248,127,454,411,44,102,25,1,14,171,70,6,3,27,0,7,93,18,0.416,0.304,0.72,26,0.25,0.0,-0.4720177
2005,안경현,두산,0.293,105,415,355,54,104,19,0,4,135,62,4,3,44,1,9,39,10,0.38,0.382,0.762,25,0.346,0.0,-0.4726475
2011,김민우,넥센,0.247,126,535,466,66,115,22,0,6,155,31,17,2,48,1,2,100,7,0.333,0.319,0.652,27,0.227,0.25,-0.47337973
2019,김선빈,KIA,0.292,121,447,394,55,115,22,0,3,146,40,5,4,43,0,1,26,7,0.371,0.36,0.731,32,0.297,0.5,-0.47448033
2007,이용규,KIA,0.28,118,491,439,61,123,17,8,0,156,27,5,3,37,0,7,40,4,0.355,0.344,0.699,29,0.279,0.0,-0.4745161
2011,김상수,삼성,0.278,128,476,406,53,113,16,4,2,143,47,15,1,47,1,7,61,7,0.352,0.362,0.714,29,0.292,0.0,-0.47503284
2006,이도형,한화,0.256,119,466,426,46,109,22,0,19,188,63,5,3,26,0,6,68,7,0.441,0.306,0.747,29,0.208,0.25,-0.47600707
2013,김상수,삼성,0.298,115,422,372,57,111,17,3,7,155,44,9,6,30,1,5,44,7,0.417,0.354,0.771,33,0.286,0.0,-0.4771108
2023,문현빈,한화,0.266,137,481,428,47,114,22,2,5,155,49,9,5,33,2,6,84,7,0.362,0.324,0.686,31,0.252,0.25,-0.47789463
2013,이용규,KIA,0.295,100,453,390,74,115,20,1,2,143,22,10,2,44,0,7,37,4,0.367,0.375,0.742,32,0.287,0.0,-0.4778997
2023,김현준,삼성,0.275,109,479,433,62,119,10,6,3,150,46,8,3,30,0,5,84,5,0.346,0.327,0.673,28,0.288,0.0,-0.47795773
2007,정보명,롯데,0.282,119,436,394,40,111,24,3,2,147,45,5,3,30,0,4,75,12,0.373,0.336,0.709,29,0.295,0.143,-0.47797126
2020,김재호,두산,0.289,120,458,402,48,116,15,1,2,139,39,2,5,45,1,4,45,17,0.346,0.362,0.708,29,0.252,0.0,-0.4795897
2008,최동수,LG,0.265,110,431,381,32,101,15,0,14,158,62,5,5,31,1,9,62,16,0.415,0.331,0.746,23,0.273,1.0,-0.4815023
2008,김원섭,KIA,0.305,106,404,344,55,105,14,4,0,127,30,4,2,51,1,3,50,3,0.369,0.398,0.767,30,0.244,0.0,-0.4831086
2013,조영훈,NC,0.282,120,426,380,38,107,26,3,6,157,39,3,2,39,1,2,56,6,0.413,0.35,0.763,27,0.248,0.273,-0.48395193
2009,이종범,KIA,0.273,123,449,385,63,105,21,1,6,146,40,12,6,41,1,5,50,9,0.379,0.346,0.725,25,0.228,0.4,-0.48403603
2018,김상수,삼성,0.263,122,499,453,63,119,13,1,10,164,50,8,3,27,0,8,91,11,0.362,0.314,0.676,32,0.2,0.0,-0.4844935
2022,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2,34,1,11,98,9,0.351,0.326,0.677,27,0.255,0.385,-0.48522463
2019,박찬호,KIA,0.26,133,541,504,60,131,15,4,2,160,49,5,2,26,0,4,83,8,0.317,0.3,0.617,36,0.308,0.0,-0.4859779
2008,양준혁,삼성,0.278,114,443,385,49,107,16,2,8,151,49,2,2,46,4,7,37,10,0.392,0.364,0.756,24,0.309,0.25,-0.48605153
2021,심우준,KT,0.268,139,460,407,61,109,20,2,6,151,48,10,6,32,0,4,65,2,0.371,0.323,0.694,26,0.271,0.5,-0.48622584
2003,김종국,KIA,0.25,125,539,464,67,116,23,1,6,159,46,14,3,53,0,4,67,3,0.343,0.33,0.673,27,0.238,0.0,-0.48844916
2013,이대수,한화,0.256,122,448,390,54,100,23,2,4,139,42,11,3,38,0,6,88,10,0.356,0.33,0.686,26,0.293,0.4,-0.4898572
2012,장민석,넥센,0.246,116,475,414,64,102,9,5,8,145,35,14,4,40,0,3,67,1,0.35,0.315,0.665,22,0.231,1.0,-0.49147666
2014,이용규,한화,0.288,104,418,358,62,103,12,4,0,123,20,2,1,52,0,5,46,5,0.344,0.385,0.729,27,0.208,0.286,-0.49155122
2019,송광민,한화,0.264,122,486,454,50,120,21,0,7,162,51,3,5,21,0,3,91,18,0.357,0.298,0.655,35,0.261,0.333,-0.49192542
2003,김상훈,KIA,0.279,125,467,423,43,118,23,1,7,164,46,10,1,30,2,3,69,9,0.388,0.33,0.718,29,0.27,0.333,-0.4929495
2002,김민재,SK,0.258,131,548,488,51,126,21,3,12,189,50,19,4,26,0,11,45,13,0.387,0.308,0.695,35,0.202,0.0,-0.49354902
2012,김상수,삼성,0.274,129,489,419,64,115,18,4,2,147,36,16,6,41,1,7,56,8,0.351,0.345,0.696,27,0.224,0.0,-0.49388584
2008,이대형,LG,0.264,126,574,523,71,138,5,2,0,147,33,9,1,39,1,2,80,3,0.281,0.317,0.598,35,0.298,0.0,-0.49517265
2021,터커,KIA,0.237,127,539,468,42,111,24,1,9,164,59,0,2,61,1,8,66,12,0.35,0.334,0.684,24,0.266,0.0,-0.49669498
2007,정수근,롯데,0.293,105,395,341,45,100,25,1,4,139,36,9,2,42,0,1,38,6,0.408,0.37,0.778,28,0.36,0.2,-0.4973594
2005,조원우,한화,0.302,95,392,351,43,106,17,1,6,143,42,3,3,31,0,4,50,5,0.407,0.362,0.769,30,0.31,0.25,-0.49768364
2018,김성현,SK,0.277,135,462,415,51,115,19,1,4,148,55,6,3,29,0,9,42,19,0.357,0.336,0.693,30,0.333,0.0,-0.5000547
2005,김민재,SK,0.277,125,508,440,58,122,19,0,2,147,37,16,4,39,0,9,48,14,0.334,0.346,0.68,31,0.256,0.0,-0.50042063
2023,최지훈,SSG,0.268,117,503,462,65,124,19,8,2,165,30,8,1,29,0,3,50,3,0.357,0.315,0.672,31,0.223,0.0,-0.5020598
2005,홍성흔,두산,0.272,115,433,394,41,107,17,0,11,157,74,4,3,29,0,3,57,17,0.398,0.324,0.722,31,0.29,0.0,-0.5028402
2003,장원진,두산,0.29,124,429,386,46,112,23,1,5,152,48,4,4,31,1,4,38,6,0.394,0.346,0.74,30,0.272,0.391,-0.5035303
2023,김민석,롯데,0.255,129,454,400,53,102,24,0,3,135,39,12,5,31,1,6,112,6,0.338,0.314,0.652,25,0.274,0.0,-0.5037569
2003,브리또,삼성,0.255,102,433,380,59,97,17,1,20,176,58,9,3,31,0,10,58,8,0.463,0.325,0.788,23,0.25,0.0,-0.50381064
2020,유민상,KIA,0.246,126,456,391,38,96,23,0,8,143,65,2,4,53,1,6,80,14,0.366,0.341,0.707,15,0.308,0.273,-0.5042745
2023,허경민,두산,0.268,130,475,429,44,115,23,1,7,161,48,0,5,35,3,6,26,6,0.375,0.328,0.703,26,0.224,0.667,-0.50445604
2006,이숭용,현대,0.286,119,449,370,44,106,12,0,7,139,43,12,3,59,3,5,45,11,0.376,0.389,0.765,25,0.279,0.0,-0.50463486
2022,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3,42,5,10,55,7,0.359,0.351,0.71,28,0.264,0.0,-0.5065273
2008,박경수,LG,0.259,116,444,367,46,95,11,1,8,132,43,23,10,37,0,7,65,13,0.36,0.33,0.69,19,0.253,1.0,-0.5069846
2022,김태연,한화,0.24,119,464,404,46,97,18,0,7,136,53,3,4,48,1,5,106,9,0.337,0.325,0.662,25,0.239,0.0,-0.50758064
2011,이호준,SK,0.253,114,417,368,41,93,12,0,14,147,62,3,1,44,2,1,78,10,0.399,0.333,0.732,24,0.288,0.333,-0.512023
2005,박경완,SK,0.245,114,425,347,43,85,17,0,11,135,44,8,6,57,7,7,100,6,0.389,0.357,0.746,18,0.232,0.0,-0.5147968
2002,홍세완,KIA,0.257,111,449,401,43,103,21,0,12,160,69,8,4,30,2,6,68,10,0.399,0.315,0.714,25,0.265,0.0,-0.5158605
2021,최형우,KIA,0.233,104,446,373,52,87,15,1,12,140,55,0,2,67,10,4,67,9,0.375,0.354,0.729,22,0.264,0.333,-0.5164932
2012,김강민,SK,0.272,123,474,427,49,116,20,0,5,151,31,11,3,29,0,4,72,7,0.354,0.322,0.676,32,0.243,0.4,-0.51768196
2007,고동진,한화,0.249,124,473,394,68,98,8,5,1,119,37,11,2,50,2,16,67,6,0.302,0.355,0.657,23,0.387,0.25,-0.51806295
2008,전준호,우리,0.31,114,391,352,44,109,16,5,1,138,24,1,2,35,2,1,41,5,0.392,0.372,0.764,25,0.263,0.125,-0.5184827
2015,지석훈,NC,0.267,137,466,415,53,111,15,0,11,159,46,9,3,23,0,16,85,9,0.383,0.328,0.711,26,0.24,0.0,-0.51913375
2003,이도형,한화,0.266,125,420,365,40,97,19,0,16,164,58,10,4,37,3,4,46,13,0.449,0.337,0.786,23,0.253,0.222,-0.5193613
2003,조인성,LG,0.257,132,456,428,43,110,20,2,19,191,58,1,4,15,0,8,67,17,0.446,0.292,0.738,26,0.257,0.0,-0.5197973
2004,김주찬,롯데,0.242,120,503,450,53,109,20,5,7,160,42,6,2,32,0,13,92,7,0.356,0.31,0.666,26,0.239,0.0,-0.52032435
2011,장성호,한화,0.244,116,478,390,53,95,13,0,8,132,37,3,0,81,2,4,66,9,0.338,0.379,0.717,20,0.232,0.0,-0.5210982
2002,장원진,두산,0.275,130,488,444,55,122,12,3,1,143,30,7,3,31,0,3,65,10,0.322,0.324,0.646,30,0.19,0.375,-0.52210647
2017,강한울,삼성,0.303,135,448,412,58,125,9,3,0,140,24,9,1,26,0,0,57,4,0.34,0.344,0.684,37,0.24,0.167,-0.52268815
2011,김선빈,KIA,0.29,98,412,335,58,97,12,2,4,125,47,20,5,50,0,2,42,8,0.373,0.38,0.753,27,0.296,0.0,-0.52341104
2007,이종열,LG,0.285,121,459,389,46,111,13,2,4,140,53,19,4,46,0,1,39,8,0.36,0.359,0.719,25,0.289,0.333,-0.52555573
2023,김주원,NC,0.233,127,474,403,56,94,9,2,10,137,54,8,4,44,1,15,106,6,0.34,0.328,0.668,21,0.267,0.0,-0.5268936
2020,심우준,KT,0.235,144,535,476,58,112,16,3,3,143,51,16,4,37,0,2,98,7,0.3,0.291,0.591,28,0.258,0.0,-0.5276711
2006,홍성흔,두산,0.287,119,424,390,36,112,16,0,10,158,56,2,2,26,1,4,49,10,0.405,0.336,0.741,31,0.314,0.25,-0.5281737
2021,장성우,KT,0.231,127,460,385,46,89,13,0,14,144,63,9,3,60,3,3,69,16,0.374,0.337,0.711,15,0.239,0.2,-0.5288336
2013,정현석,한화,0.287,121,403,356,47,102,15,1,4,131,27,3,0,37,1,7,64,14,0.368,0.365,0.733,22,0.227,0.182,-0.5291054
2013,강민호,롯데,0.235,105,405,327,48,77,13,0,11,123,57,1,6,60,3,11,87,5,0.376,0.366,0.742,17,0.259,0.0,-0.53322935
2010,오재원,두산,0.276,123,421,384,59,106,17,3,0,129,37,2,2,29,1,4,76,5,0.336,0.332,0.668,24,0.246,0.0,-0.5338061
2021,이원석,삼성,0.231,131,480,399,40,92,19,0,9,138,59,2,8,60,2,11,80,11,0.346,0.341,0.687,18,0.309,0.25,-0.53829205
2015,김태군,NC,0.254,144,474,421,45,107,24,0,6,149,52,11,7,25,0,10,77,12,0.354,0.307,0.661,26,0.238,0.0,-0.5405612
2011,조성환,롯데,0.243,117,459,407,45,99,19,0,6,136,36,10,2,37,1,3,87,11,0.334,0.31,0.644,26,0.238,1.0,-0.5406196
2005,이용규,KIA,0.266,124,479,414,57,110,17,2,5,146,37,14,3,39,0,9,64,6,0.353,0.34,0.693,28,0.208,0.0,-0.5408543
2004,브리또,SK,0.261,102,421,368,41,96,18,0,13,153,50,1,3,34,4,15,57,5,0.416,0.345,0.761,25,0.261,0.0,-0.54141176
2012,이대수,한화,0.279,118,425,376,36,105,23,4,4,148,48,14,5,27,0,3,57,9,0.394,0.328,0.722,22,0.274,0.4,-0.542801
2012,배영섭,삼성,0.245,122,479,412,64,101,15,2,2,126,34,7,3,48,0,9,69,4,0.306,0.335,0.641,28,0.26,0.143,-0.5428611
2005,박종호,삼성,0.268,119,484,392,63,105,21,0,4,138,36,25,3,46,1,18,48,4,0.352,0.368,0.72,30,0.263,0.0,-0.54319817
2004,최동수,LG,0.257,123,414,381,49,98,22,0,15,165,57,4,4,23,3,2,51,15,0.433,0.3,0.733,20,0.265,0.333,-0.5439043
2002,박종호,현대,0.266,108,468,402,58,107,15,2,7,147,53,29,1,25,0,11,42,4,0.366,0.326,0.692,28,0.347,1.0,-0.5445131
2002,김응국,롯데,0.284,116,412,373,35,106,15,3,3,136,49,2,1,34,2,2,58,8,0.365,0.346,0.711,24,0.291,0.3,-0.5447324
2009,송광민,한화,0.261,116,440,417,50,109,15,1,14,168,43,5,1,12,1,5,109,13,0.403,0.29,0.693,29,0.262,0.0,-0.5450198
2014,김재호,두산,0.252,122,421,341,50,86,14,1,3,111,54,13,11,54,0,2,59,14,0.326,0.348,0.674,21,0.298,0.0,-0.5464556
2010,정성훈,LG,0.263,111,418,365,52,96,20,1,4,130,38,6,2,41,1,4,58,14,0.356,0.342,0.698,24,0.255,0.143,-0.54702884
2002,최기문,롯데,0.285,123,415,383,34,109,22,4,8,163,50,2,0,27,5,3,44,9,0.426,0.337,0.763,23,0.292,0.0,-0.54794663
2007,전준호,현대,0.296,121,430,371,52,110,8,1,1,123,13,8,2,40,1,9,45,6,0.332,0.377,0.709,28,0.241,0.375,-0.54843605
2005,임재철,두산,0.31,109,401,336,41,104,13,3,3,132,30,22,4,35,0,4,51,5,0.393,0.377,0.77,31,0.259,0.0,-0.5494409
2004,조원우,SK,0.277,119,463,386,59,107,17,2,3,137,35,20,4,42,0,11,49,3,0.355,0.361,0.716,24,0.229,0.5,-0.5495384
2012,양의지,두산,0.279,122,416,359,39,100,22,1,5,139,27,9,1,37,2,10,51,17,0.387,0.361,0.748,24,0.212,0.125,-0.54980135
2023,김재환,두산,0.22,132,484,405,40,89,15,0,10,134,46,0,2,72,4,5,100,8,0.331,0.343,0.674,21,0.264,0.214,-0.55254316
2011,한상훈,한화,0.269,131,485,398,49,107,12,3,3,134,39,33,2,46,1,6,66,6,0.337,0.352,0.689,26,0.29,0.0,-0.55279577
2021,강진성,NC,0.249,124,462,406,49,101,20,0,7,142,38,4,2,36,2,14,68,12,0.35,0.33,0.68,25,0.227,0.2,-0.55329615
2008,강정호,우리,0.271,116,408,362,36,98,18,1,8,142,47,7,3,31,1,5,65,12,0.392,0.334,0.726,24,0.276,0.333,-0.5553421
2022,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4,39,1,1,56,2,0.331,0.323,0.654,29,0.237,0.0,-0.556998
2005,이숭용,현대,0.252,105,390,330,45,83,13,0,14,138,55,3,2,46,2,9,50,10,0.418,0.357,0.775,16,0.275,0.286,-0.5578337
2009,안치홍,KIA,0.235,123,415,371,53,87,13,4,14,150,38,7,3,32,1,2,103,10,0.404,0.297,0.701,20,0.186,0.286,-0.5589958
2002,박진만,현대,0.219,126,466,401,47,88,24,0,12,148,57,9,4,47,2,5,85,6,0.369,0.306,0.675,18,0.206,0.0,-0.5624646
2003,정경배,SK,0.272,119,425,372,55,101,16,0,12,153,51,12,3,27,0,11,56,3,0.411,0.337,0.748,22,0.279,0.0,-0.5646075
2004,김상훈,KIA,0.262,128,439,389,39,102,21,0,8,147,45,13,3,33,0,1,66,11,0.378,0.319,0.697,26,0.255,0.0,-0.565868
2022,심우준,KT,0.24,132,449,388,69,93,8,2,4,117,34,11,4,43,0,2,75,11,0.302,0.316,0.618,23,0.175,0.333,-0.5696627
2013,손주인,LG,0.265,125,423,351,42,93,17,3,3,125,41,20,6,40,0,6,63,8,0.356,0.345,0.701,23,0.284,0.0,-0.57144547
2013,정의윤,LG,0.272,116,405,367,42,100,15,5,5,140,47,1,3,26,2,8,45,10,0.381,0.332,0.713,27,0.281,0.071,-0.57256764
2006,조동찬,삼성,0.259,107,421,370,51,96,13,0,10,139,46,15,1,29,0,6,80,9,0.376,0.323,0.699,26,0.229,0.0,-0.5742854
2006,진갑용,삼성,0.288,110,408,358,28,103,22,0,6,143,47,9,7,29,0,5,37,18,0.399,0.343,0.742,21,0.287,0.0,-0.57654
2008,박기혁,롯데,0.291,113,404,351,47,102,13,1,1,120,36,8,3,40,0,2,47,6,0.342,0.364,0.706,26,0.242,0.0,-0.57743466
2013,박종윤,롯데,0.255,115,416,381,37,97,24,2,7,146,58,3,6,21,3,5,56,9,0.383,0.298,0.681,27,0.252,0.625,-0.5776969
2007,김상현,LG,0.235,121,434,378,44,89,27,0,7,137,41,10,3,33,0,10,85,12,0.362,0.311,0.673,24,0.239,0.333,-0.57837063
2005,진갑용,삼성,0.288,110,406,347,34,100,17,0,6,135,41,11,4,36,1,8,47,8,0.389,0.365,0.754,26,0.245,0.0,-0.5813865
2006,강민호,롯데,0.251,126,460,410,40,103,20,0,9,150,53,14,2,23,2,11,78,5,0.366,0.307,0.673,25,0.308,0.0,-0.58542675
2021,김상수,삼성,0.235,132,496,429,46,101,17,1,3,129,42,8,4,52,0,3,51,14,0.301,0.32,0.621,24,0.223,0.333,-0.58564126
2012,박종윤,롯데,0.257,121,459,416,41,107,19,4,9,161,47,15,1,22,5,5,64,10,0.387,0.302,0.689,26,0.252,0.167,-0.58796173
2005,강동우,삼성,0.24,125,429,367,61,88,15,3,6,127,38,13,3,43,2,3,68,8,0.346,0.322,0.668,24,0.271,0.0,-0.5885867
2005,정수성,현대,0.273,118,429,366,53,100,14,5,0,124,19,19,3,21,0,20,76,9,0.339,0.344,0.683,30,0.214,0.0,-0.58913404
