YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2019,한유섬,SK,0.265,125,502,427,52,113,20,0,12,169,52,0,0,55,4,20,100,6,0.396,0.375,0.771,28,0.264,0.3,-0.36225438
2012,최진행,한화,0.248,120,471,395,59,98,26,0,17,175,55,0,4,66,3,6,109,11,0.443,0.361,0.804,25,0.24,0.0,-0.3630745
2011,강정호,넥센,0.282,123,504,444,53,125,22,2,9,178,63,3,5,43,4,9,62,12,0.401,0.353,0.754,36,0.314,0.0,-0.3635127
2013,배영섭,삼성,0.295,113,476,393,66,116,16,4,2,146,38,8,3,52,1,20,62,9,0.372,0.402,0.774,34,0.318,0.167,-0.36453652
2006,박진만,삼성,0.283,115,452,382,54,108,22,1,11,165,65,2,5,56,0,7,74,6,0.432,0.38,0.812,26,0.295,0.0,-0.3652896
2018,강민호,삼성,0.269,129,477,427,46,115,14,0,22,195,71,0,7,29,5,14,96,11,0.457,0.331,0.788,32,0.225,0.273,-0.36580452
2014,오재원,두산,0.318,110,420,359,60,114,21,6,5,162,40,9,0,50,2,2,61,7,0.451,0.404,0.855,28,0.223,0.25,-0.36588407
2007,발데스,LG,0.283,116,512,435,50,123,15,0,13,177,72,0,5,70,4,2,49,14,0.407,0.381,0.788,33,0.278,0.0,-0.36604366
2002,홍성흔,두산,0.289,127,484,432,51,125,17,0,18,196,70,7,3,37,1,5,63,17,0.454,0.35,0.804,32,0.321,0.0,-0.3671258
2011,안치홍,KIA,0.315,115,433,378,54,119,21,4,5,163,46,17,2,33,1,3,55,13,0.431,0.373,0.804,32,0.348,0.5,-0.36718503
2005,정성훈,현대,0.266,126,523,458,61,122,20,1,17,195,72,9,0,49,0,7,67,14,0.426,0.346,0.772,27,0.313,0.0,-0.36742425
2012,김선빈,KIA,0.281,126,532,441,63,124,19,2,5,162,55,25,6,58,0,2,48,9,0.367,0.363,0.73,30,0.331,0.667,-0.3674286
2005,조동찬,삼성,0.274,122,447,387,55,106,16,0,16,170,63,3,3,39,0,15,84,9,0.439,0.36,0.799,26,0.293,0.5,-0.36874425
2019,박세혁,두산,0.279,137,505,441,58,123,19,9,4,172,63,10,6,41,1,7,68,5,0.39,0.345,0.735,29,0.291,0.0,-0.36965424
2007,장성호,KIA,0.281,116,464,395,55,111,22,0,11,166,62,0,3,63,3,3,30,10,0.42,0.381,0.801,29,0.236,0.375,-0.37066174
2014,이범호,KIA,0.269,105,406,350,47,94,23,0,19,174,82,0,4,41,1,11,89,9,0.497,0.36,0.857,24,0.293,0.0,-0.3712899
2011,정수빈,두산,0.285,128,476,414,66,118,17,8,1,154,38,8,3,40,0,11,77,5,0.372,0.361,0.733,31,0.303,0.2,-0.37130708
2011,박정권,SK,0.252,122,507,453,54,114,21,2,13,178,53,6,3,42,5,3,103,9,0.393,0.317,0.71,27,0.225,1.0,-0.37155995
2020,조용호,KT,0.296,132,482,409,73,121,15,0,0,136,32,5,2,64,1,2,83,6,0.333,0.392,0.725,29,0.317,0.364,-0.372826
2014,신종길,KIA,0.292,103,399,360,60,105,24,6,9,168,51,5,3,29,0,2,92,2,0.467,0.345,0.812,29,0.233,0.333,-0.37282765
2023,로하스,두산,0.253,122,464,403,52,102,24,4,19,191,65,0,3,55,2,3,68,5,0.474,0.345,0.819,28,0.255,0.0,-0.37336987
2006,안경현,두산,0.284,125,499,423,45,120,21,0,15,186,70,5,5,50,2,16,45,19,0.44,0.377,0.817,29,0.337,0.0,-0.37401247
2002,이병규,LG,0.293,109,444,389,54,114,25,0,12,175,43,1,2,50,12,2,57,6,0.45,0.375,0.825,30,0.253,0.0,-0.3744614
2023,박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,24,1,45,0,3,74,7,0.359,0.348,0.707,33,0.313,0.5,-0.3747357
2007,이범호,한화,0.246,126,505,418,57,103,14,0,21,180,63,6,4,72,1,5,73,14,0.431,0.361,0.792,31,0.296,0.0,-0.37474
2008,박한이,삼성,0.316,104,442,370,57,117,17,2,4,150,41,5,3,63,1,1,37,6,0.405,0.414,0.819,32,0.342,0.2,-0.37533414
2018,김혜성,넥센,0.27,136,473,430,79,116,15,6,5,158,45,3,2,33,1,5,119,6,0.367,0.328,0.695,28,0.333,0.0,-0.375609
2021,오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,4,5,54,0,5,82,11,0.356,0.335,0.691,30,0.248,0.25,-0.3757831
2010,김주찬,롯데,0.276,118,535,485,89,134,18,4,9,187,40,11,3,31,1,5,65,5,0.386,0.324,0.71,40,0.294,0.0,-0.37695688
2004,정성훈,현대,0.266,118,540,470,66,125,23,0,8,172,59,8,1,54,3,7,60,11,0.366,0.35,0.716,37,0.305,0.0,-0.37738615
